timestamp;user;command;args;key
17/03/2025 21:59;david;sudo;sudo nano /usr/local/bin/vuln.sh;sudo_exec
17/03/2025 22:02;david;sudo;sudo chown root:root rootbash;sudo_exec
17/03/2025 22:02;david;sudo;sudo chmod 4755 rootbash;sudo_exec
17/03/2025 22:02;david;id;id ;id_exec
17/03/2025 22:05;david;getcap;getcap -r /;getcap_exec
17/03/2025 22:07;david;find;find / -type f ( -name *.conf -o -name *.ini -o -name *.json -o -name *.yml -o -name *.yaml ) -writable;find_exec
17/03/2025 22:08;david;find;find / -type f -perm -0002 -name *.conf;find_exec
17/03/2025 22:08;david;find;find /etc -type f -writable;find_exec
17/03/2025 22:09;david;find;find / -type f -writable;find_exec
28/02/2025 19:41;user25;sudo;sudo -l;sudo_exec
